sample,percentile,Ts_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
BL6-BALBc_HTxB,0.79,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.79,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.79,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.78,1.0,0.0,-0.02048773050254385,116,3317
BL6-BALBc_HTxB,0.78,1.0,1.0,-0.016341443955777676,116,3317
BL6-BALBc_HTxB,0.78,1.0,2.0,-0.011617599400282319,116,3317
BL6-BALBc_HTxB,0.78,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.78,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.78,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.77,1.0,0.0,-0.02048773050254385,116,3317
BL6-BALBc_HTxB,0.77,1.0,1.0,-0.016341443955777676,116,3317
BL6-BALBc_HTxB,0.77,1.0,2.0,-0.011617599400282319,116,3317
BL6-BALBc_HTxB,0.77,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.77,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.77,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.76,1.0,0.0,-0.02048773050254385,116,3317
BL6-BALBc_HTxB,0.76,1.0,1.0,-0.016341443955777676,116,3317
BL6-BALBc_HTxB,0.76,1.0,2.0,-0.011617599400282319,116,3317
BL6-BALBc_HTxB,0.76,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.76,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.76,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.75,1.0,0.0,-0.02048773050254385,116,3317
BL6-BALBc_HTxB,0.75,1.0,1.0,-0.016341443955777676,116,3317
BL6-BALBc_HTxB,0.75,1.0,2.0,-0.011617599400282319,116,3317
BL6-BALBc_HTxB,0.75,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.75,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.75,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.74,1.0,0.0,-0.02048773050254385,116,3317
BL6-BALBc_HTxB,0.74,1.0,1.0,-0.016341443955777676,116,3317
BL6-BALBc_HTxB,0.74,1.0,2.0,-0.011617599400282319,116,3317
BL6-BALBc_HTxB,0.74,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.74,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.74,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.73,1.0,0.0,-0.02048773050254385,116,3317
BL6-BALBc_HTxB,0.73,1.0,1.0,-0.016341443955777676,116,3317
BL6-BALBc_HTxB,0.73,1.0,2.0,-0.011617599400282319,116,3317
BL6-BALBc_HTxB,0.73,1.0,3.0,-0.009772827778437259,116,3317
BL6-BALBc_HTxB,0.73,1.0,4.0,-0.00889223894396455,116,3317
BL6-BALBc_HTxB,0.73,1.0,5.0,-0.008365693945005104,116,3317
BL6-BALBc_HTxB,0.72,1.0,0.0,-0.02048773050254385,116,3317
