percentile,Ts_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_ge5,n_common_clonotypes_ge5,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0.6499999999999999,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.64,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.63,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.62,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.61,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.6,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.59,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.5800000000000001,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.5700000000000001,1.0,3585,74.89032797158973,166,130,130,0.010915492799591586,0.14939980916808854,-0.08677535280682767,-0.014879836329149135
0.56,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.55,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.54,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.53,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.52,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.51,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.5,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.49,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.48,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.47,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.45999999999999996,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.44999999999999996,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.43999999999999995,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.42999999999999994,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.42000000000000004,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.41000000000000003,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.4,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.39,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.38,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.37,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.36,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.35,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.33999999999999997,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.32999999999999996,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.31999999999999995,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.30999999999999994,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.29999999999999993,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.29000000000000004,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.28,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.27,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.26,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.25,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.24,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.22999999999999998,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.21999999999999997,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.20999999999999996,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.19999999999999996,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.18999999999999995,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.17999999999999994,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.16999999999999993,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.16000000000000003,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.15000000000000002,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.14,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.13,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.12,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.10999999999999999,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.09999999999999998,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.08999999999999997,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.07999999999999996,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.06999999999999995,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.05999999999999994,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.04999999999999993,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.040000000000000036,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.030000000000000027,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.020000000000000018,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.010000000000000009,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
0.0,0.0,2709,56.59076665970336,166,97,97,0.024865097553216087,0.25255686662016585,-0.12019558469642086,-0.014979037902381526
