,sample,percentile,thresh_ly49c,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
0,D7B,1.0,44.0,0.0,0.0,32,891
1,D7B,1.0,44.0,1.0,0.0,32,891
2,D7B,1.0,44.0,2.0,0.0,32,891
3,D7B,1.0,44.0,5.0,0.0,32,891
4,D7B,0.995,12.0,0.0,-0.0027920438273952436,32,887
5,D7B,0.995,12.0,1.0,-0.002195565060516609,32,887
6,D7B,0.995,12.0,2.0,-0.001967486603562621,32,887
7,D7B,0.995,12.0,5.0,-0.0016895316679568506,32,887
8,D7B,0.99,8.100000000000023,0.0,-0.012376103161253121,32,882
9,D7B,0.99,8.100000000000023,1.0,-0.00831087334007774,32,882
10,D7B,0.99,8.100000000000023,2.0,-0.005847546721437433,32,882
11,D7B,0.99,8.100000000000023,5.0,-0.0039040046894669826,32,882
12,D7B,0.985,7.0,0.0,-0.016551231465369277,32,878
13,D7B,0.985,7.0,1.0,-0.012183421170200465,32,878
14,D7B,0.985,7.0,2.0,-0.009498511321678213,32,878
15,D7B,0.985,7.0,5.0,-0.007110393294723738,32,878
16,D7B,0.98,7.0,0.0,-0.016551231465369277,32,878
17,D7B,0.98,7.0,1.0,-0.012183421170200465,32,878
18,D7B,0.98,7.0,2.0,-0.009498511321678213,32,878
19,D7B,0.98,7.0,5.0,-0.007110393294723738,32,878
20,D7B,0.975,6.0,0.0,-0.017858075587399803,32,872
21,D7B,0.975,6.0,1.0,-0.013234165482979385,32,872
22,D7B,0.975,6.0,2.0,-0.010447100360955919,32,872
23,D7B,0.975,6.0,5.0,-0.007968980192754292,32,872
24,D7B,0.97,6.0,0.0,-0.017858075587399803,32,872
25,D7B,0.97,6.0,1.0,-0.013234165482979385,32,872
26,D7B,0.97,6.0,2.0,-0.010447100360955919,32,872
27,D7B,0.97,6.0,5.0,-0.007968980192754292,32,872
28,D7B,0.965,5.0,0.0,-0.03182839490132183,32,862
29,D7B,0.965,5.0,1.0,-0.02113885446912094,32,862
30,D7B,0.965,5.0,2.0,-0.013959718048827542,32,862
31,D7B,0.965,5.0,5.0,-0.009030061952005378,32,862
32,D7B,0.96,5.0,0.0,-0.03182839490132183,32,862
33,D7B,0.96,5.0,1.0,-0.02113885446912094,32,862
34,D7B,0.96,5.0,2.0,-0.013959718048827542,32,862
35,D7B,0.96,5.0,5.0,-0.009030061952005378,32,862
36,D7B,0.955,5.0,0.0,-0.03182839490132183,32,862
37,D7B,0.955,5.0,1.0,-0.02113885446912094,32,862
38,D7B,0.955,5.0,2.0,-0.013959718048827542,32,862
39,D7B,0.955,5.0,5.0,-0.009030061952005378,32,862
40,D7B,0.95,5.0,0.0,-0.03182839490132183,32,862
41,D7B,0.95,5.0,1.0,-0.02113885446912094,32,862
42,D7B,0.95,5.0,2.0,-0.013959718048827542,32,862
43,D7B,0.95,5.0,5.0,-0.009030061952005378,32,862
44,D7B,0.945,5.0,0.0,-0.03182839490132183,32,862
45,D7B,0.945,5.0,1.0,-0.02113885446912094,32,862
46,D7B,0.945,5.0,2.0,-0.013959718048827542,32,862
47,D7B,0.945,5.0,5.0,-0.009030061952005378,32,862
48,D7B,0.94,4.0,0.0,-0.0439782193915381,32,841
49,D7B,0.94,4.0,1.0,-0.03359937389236478,32,841
50,D7B,0.94,4.0,2.0,-0.02630392897784559,32,841
51,D7B,0.94,4.0,5.0,-0.020225939563755742,32,841
52,D7B,0.935,4.0,0.0,-0.0439782193915381,32,841
53,D7B,0.935,4.0,1.0,-0.03359937389236478,32,841
54,D7B,0.935,4.0,2.0,-0.02630392897784559,32,841
55,D7B,0.935,4.0,5.0,-0.020225939563755742,32,841
56,D7B,0.9299999999999999,4.0,0.0,-0.0439782193915381,32,841
57,D7B,0.9299999999999999,4.0,1.0,-0.03359937389236478,32,841
58,D7B,0.9299999999999999,4.0,2.0,-0.02630392897784559,32,841
59,D7B,0.9299999999999999,4.0,5.0,-0.020225939563755742,32,841
60,D7B,0.925,4.0,0.0,-0.0439782193915381,32,841
61,D7B,0.925,4.0,1.0,-0.03359937389236478,32,841
62,D7B,0.925,4.0,2.0,-0.02630392897784559,32,841
63,D7B,0.925,4.0,5.0,-0.020225939563755742,32,841
64,D7B,0.92,3.0,0.0,-0.05661977519929844,30,820
65,D7B,0.92,3.0,1.0,-0.04085438421197978,30,820
66,D7B,0.92,3.0,2.0,-0.03064268155972604,30,820
67,D7B,0.92,3.0,5.0,-0.02308302390256756,30,820
68,D7B,0.915,3.0,0.0,-0.05661977519929844,30,820
69,D7B,0.915,3.0,1.0,-0.04085438421197978,30,820
70,D7B,0.915,3.0,2.0,-0.03064268155972604,30,820
71,D7B,0.915,3.0,5.0,-0.02308302390256756,30,820
72,D7B,0.91,3.0,0.0,-0.05661977519929844,30,820
73,D7B,0.91,3.0,1.0,-0.04085438421197978,30,820
74,D7B,0.91,3.0,2.0,-0.03064268155972604,30,820
75,D7B,0.91,3.0,5.0,-0.02308302390256756,30,820
76,D7B,0.905,3.0,0.0,-0.05661977519929844,30,820
77,D7B,0.905,3.0,1.0,-0.04085438421197978,30,820
78,D7B,0.905,3.0,2.0,-0.03064268155972604,30,820
79,D7B,0.905,3.0,5.0,-0.02308302390256756,30,820
80,D7B,0.9,3.0,0.0,-0.05661977519929844,30,820
81,D7B,0.9,3.0,1.0,-0.04085438421197978,30,820
82,D7B,0.9,3.0,2.0,-0.03064268155972604,30,820
83,D7B,0.9,3.0,5.0,-0.02308302390256756,30,820
84,D7B,0.895,3.0,0.0,-0.05661977519929844,30,820
85,D7B,0.895,3.0,1.0,-0.04085438421197978,30,820
86,D7B,0.895,3.0,2.0,-0.03064268155972604,30,820
87,D7B,0.895,3.0,5.0,-0.02308302390256756,30,820
88,D7B,0.89,3.0,0.0,-0.05661977519929844,30,820
89,D7B,0.89,3.0,1.0,-0.04085438421197978,30,820
90,D7B,0.89,3.0,2.0,-0.03064268155972604,30,820
91,D7B,0.89,3.0,5.0,-0.02308302390256756,30,820
92,D7B,0.885,3.0,0.0,-0.05661977519929844,30,820
93,D7B,0.885,3.0,1.0,-0.04085438421197978,30,820
94,D7B,0.885,3.0,2.0,-0.03064268155972604,30,820
95,D7B,0.885,3.0,5.0,-0.02308302390256756,30,820
96,D7B,0.88,3.0,0.0,-0.05661977519929844,30,820
97,D7B,0.88,3.0,1.0,-0.04085438421197978,30,820
98,D7B,0.88,3.0,2.0,-0.03064268155972604,30,820
99,D7B,0.88,3.0,5.0,-0.02308302390256756,30,820
100,D7B,0.875,3.0,0.0,-0.05661977519929844,30,820
101,D7B,0.875,3.0,1.0,-0.04085438421197978,30,820
102,D7B,0.875,3.0,2.0,-0.03064268155972604,30,820
103,D7B,0.875,3.0,5.0,-0.02308302390256756,30,820
104,D7B,0.87,3.0,0.0,-0.05661977519929844,30,820
105,D7B,0.87,3.0,1.0,-0.04085438421197978,30,820
106,D7B,0.87,3.0,2.0,-0.03064268155972604,30,820
107,D7B,0.87,3.0,5.0,-0.02308302390256756,30,820
108,D7B,0.865,2.0,0.0,-0.10903508057536988,30,771
109,D7B,0.865,2.0,1.0,-0.08458625761833494,30,771
110,D7B,0.865,2.0,2.0,-0.069640831121817,30,771
111,D7B,0.865,2.0,5.0,-0.05536844816953015,30,771
112,D7B,0.86,2.0,0.0,-0.10903508057536988,30,771
113,D7B,0.86,2.0,1.0,-0.08458625761833494,30,771
114,D7B,0.86,2.0,2.0,-0.069640831121817,30,771
115,D7B,0.86,2.0,5.0,-0.05536844816953015,30,771
116,D7B,0.855,2.0,0.0,-0.10903508057536988,30,771
117,D7B,0.855,2.0,1.0,-0.08458625761833494,30,771
118,D7B,0.855,2.0,2.0,-0.069640831121817,30,771
119,D7B,0.855,2.0,5.0,-0.05536844816953015,30,771
